broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.1266478, 35.1584168]",420817135042733,부산광역시 수영구 민락동 24-20,슈발츠발트,317,http://ldb.phinf.naver.net/20180402_290/1522679055149eSdkC_JPEG/6d7I9sj9a_PSRJiwsDPu0eB7.jpg,슈발츠발트
"{'name': None, 'menu': None}","['음식점', '한식']","[129.0599884, 35.1545977]",864263627076722,부산광역시 부산진구 부전동 190-5,내가찜한닭서면점,326,http://ldb.phinf.naver.net/20190602_116/1559433223539HlcY6_JPEG/eX_lZoJV3TKhYly4cm_tB9rZ.jpg,내가찜한닭 서면
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[129.0622145, 35.1540155]",276378546,부산광역시 부산진구 부전동 223-1,에티오피아,340,http://ldb.phinf.naver.net/20181122_280/1542886781377IL5sl_JPEG/AhpCOoyAJl4PfoHSAqXCb9-L.jpg,서면 에티오피아
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[129.0615853, 35.1570066]",638230979864735,부산광역시 부산진구 부전동 168-394,가곱,680,http://ldb.phinf.naver.net//20160704_276/1467621496653nwtdX_JPEG/image.jpeg,가곱
"{'name': None, 'menu': None}","['한식', '매운탕,해물탕']","[129.106941, 35.1823232]",352631395,부산광역시 연제구 연산9동 490-25,연산낙지해물탕,381,http://ldb.phinf.naver.net/20150901_278/1441093175557hEjaC_JPEG/166473633849106_0.jpeg,연산낙지해물탕
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[129.1139782, 35.1776745]",122402215,부산광역시 수영구 망미동 475-1,테라로사 수영점,39200,,수영구 Terarosa  테라로사
"{'name': None, 'menu': None}","['한식', '순대,순대국']","[128.992621, 35.0991441]",601720558,부산광역시 사하구 괴정동 946-5,병천황토방순대 괴정점,4,http://ldb.phinf.naver.net/20150901_229/1441039591050vqNbh_GIF/12926289_0.gif,부산광역시 괴정동 병천순대
"{'name': None, 'menu': None}","['일식', '일본식라면']","[129.0621543, 35.1581782]",213332825975262,부산광역시 부산진구 부전동 144-1,칸다소바,4131,,칸다소바
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.0628451, 35.1586778]",170736933592550,부산광역시 부산진구 전포동 660-16,카페 도링쿠,4153,http://ldb.phinf.naver.net/20180523_146/1527049852066IGA77_JPEG/uzi1BNRMngb2I-mEVgO2udAR.jpg,도링쿠
"{'name': None, 'menu': None}","['카페,디저트', '케이크전문']","[129.1130664, 35.1519174]",389775374797951,부산광역시 수영구 광안동 180-2,올어바웃월드서퍼,4456,http://ldb.phinf.naver.net/20170819_79/1503142378386Ynz0W_JPEG/o7_EZacjUenulUXMqdRjJKIw.jpg,올어바웃월드서퍼
