broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.446058, 36.6176297]",730736240469382,충청북도 청주시 서원구 개신동 702,스타벅스 청주성화점,717,http://ldb.phinf.naver.net/20151112_294/1447316784020fNqpg_JPEG/167062575643581_0.jpeg,스타벅스 성화점
"{'name': None, 'menu': None}","['한식', '닭갈비']","[127.622025, 36.7675083]",371887299592502,충청북도 증평군 증평읍 용강리 160,일미닭갈비,0,,증평 일미닭갈비
"{'name': None, 'menu': None}","['양식', '햄버거']","[127.4838082, 36.6103404]",264653600,충청북도 청주시 서원구 분평동 241-4,맥도날드청주분평DT점,180,,분평 맥도날드
"{'name': None, 'menu': None}","['한식', '한정식']","[127.1142703, 36.7901403]",289209034834523,충청남도 천안시 서북구 쌍용동 1736,숟가락반상 마실 천안본점,38,http://ldb.phinf.naver.net/20160527_162/14643270864936Ybtp_JPEG/176477546138639_19.jpeg,퓨전한정식 마실
"{'name': None, 'menu': None}","['한식', '칼국수,만두']","[126.349696, 36.515166]",286146631829564,충청남도 태안군 안면읍 승언리 346-4,대성식관,39,http://ldb.phinf.naver.net/20160121_297/14533466006511NmAV_JPEG/176071525339395_2.jpg,대성식관
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.4867444, 36.6337357]",400670370458006,충청북도 청주시 상당구 서문동 77,서림문화회관,4728,http://ldb.phinf.naver.net/20190130_47/1548829165359oxOXM_PNG/2ou7GTYRKxcgQomnsJwFnzgs.png,서림문화회관
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.1319714, 36.8052085]",1760753613978009,충청남도 천안시 서북구 쌍용동 997,몽상가인,416,http://ldb.phinf.naver.net/20180529_217/1527593892084qjKXv_JPEG/D5_eJfUTHYPEe6dGLfW0m3-W.jpg,몽상가인 쌍용점
"{'name': None, 'menu': None}","['술집', '맥주,호프']","[127.157347, 36.81809]",1531521117153263,충청남도 천안시 동남구 신부동 463-5,술먹는하마 본점,44,,천안 술먹는하마
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.4891271, 36.6385392]",263256644089200,충청북도 청주시 상당구 북문로2가 74-1 109호 자매상회,자매상회,1425,http://ldb.phinf.naver.net/20181111_286/15419378955131BzBs_JPEG/liQzV8xdBRN7Z5dRJdWvpPS0.jpeg.jpg,자매상회
"{'name': None, 'menu': None}","['일식', '일식당']","[127.4875849, 36.6380849]",1028336803,충청북도 청주시 상당구 북문로2가 79-7,탄포포,595,http://blogfiles.naver.net/20160107_55/jayyee_14521061881434tBfs_JPEG/_MG_6130.jpg#900x600,청주 탄포포
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.5106826, 36.6378216]",1164977173684030,충청북도 청주시 상당구 용담동 457,띵킹컵커피숍,60,http://ldb.phinf.naver.net/20161114_182/1479127089186ASsW0_JPEG/177064616829047_0.jpeg,Thinking Cup
"{'name': None, 'menu': None}","['일식', '초밥,롤']","[127.1584887, 36.8200313]",772183756,충청남도 천안시 동남구 신부동 812,수스시,657,http://ldb.phinf.naver.net/20171106_115/1509930376852TGSpu_JPEG/T8zp3lQLGYfVweooNcPrQ35S.jpg,수스시
"{'name': None, 'menu': None}","['음식점', '브런치']","[127.4875771, 36.6378194]",816481301858646,충청북도 청주시 상당구 북문로2가 67-10,던던,1533,http://ldb.phinf.naver.net/20171230_81/1514629049717C6GPd_JPEG/Q3HNchiTjJSyVOjOdiRsae8O.jpg,던던
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.135202, 36.8345543]",619232585083931,충청남도 천안시 서북구 두정동 977,977번지,873,http://ldb.phinf.naver.net/20190327_271/1553671889272sb1qy_JPEG/Hc1RjEdhIPF0InfvyhtrEqZ8.jpg,카페977번지
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.1539665, 36.7886424]",866714850139763,충청남도 천안시 동남구 청수동  331,카페D331,879,,Cafe D331
"{'name': None, 'menu': None}","['한식', '생선회']","[126.6052157, 36.3466449]",101661617122513,충청남도 보령시 동대동 1718,회뜨는남자,89,http://ldb.phinf.naver.net/20170615_247/1497499650652E8wLK_JPEG/186565533750.JPG,회뜨는남자
"{'name': None, 'menu': None}","['한식', '생선구이']","[126.7369852, 36.0194738]",1611882518872743,충청남도 서천군 마서면 도삼리 71-9,가마구이찌생선구이,9,http://ldb.phinf.naver.net/20160222_90/14561143124374mMKO_JPEG/176165577546309_0.jpeg,서천생선구이가게
"{'name': None, 'menu': None}","['한식', '족발,보쌈']","[127.4591494, 36.6328362]",563783600722525,충청북도 청주시 서원구 사창동 443,소주신랑보쌈부인,9,http://ldb.phinf.naver.net/20170306_93/14887893197344nYbh_JPEG/186256576539.jpg,소주신랑 보쌈부인
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.1302206, 36.8028434]",2289567907938077,충청남도 천안시 서북구 쌍용동 1156,인더하문,9,http://ldb.phinf.naver.net/20190104_259/1546591391098SWDzB_JPEG/7hnItjmZ7Gxzsfao6kvNNrXP.jpeg.jpg,인더하문
"{'name': None, 'menu': None}","['한식', '육류,고기요리']","[127.166078, 36.7810611]",224602921,충청남도 천안시 동남구 삼룡동 330-10,연우정,92,http://blogfiles.naver.net/20150909_144/oooh89_14417720405875fr3e_JPEG/20150908_185627.jpg#740x416,연우정
