broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': '생방송오늘저녁', 'menu': '돼지국밥'}","['한식', '순대,순대국']","[128.5869567, 35.8723561]",256585617,대구광역시 중구 서성로1가 59-1,8번식당,649,http://blogfiles.naver.net/20160128_133/hankookceo_1453946644636YDW3j_JPEG/%BB%E7%C1%F8_169.jpg#1599x1065,8번식당
"{'name': None, 'menu': None}","['한식', '족발,보쌈']","[128.563633, 35.866189]",478625073,대구광역시 서구 평리동 1194-7,불로군불족발,33,http://ldb.phinf.naver.net/20160715_136/1468565209656RH0Op_PNG/176665557668482_0.png,불로군불족발
"{'name': None, 'menu': None}","['음식점', '퓨전음식']","[128.5944156, 35.86566]",178319009373773,대구광역시 중구 덕산동 128-23,신사식탁,338,http://ldb.phinf.naver.net/20190423_144/1556029419690QHYbr_JPEG/19-MZDARz1O561idJp1gL9yG.jpg,신사식탁
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[128.4672327, 35.8521198]",384043448610895,대구광역시 달성군 다사읍 죽곡리 823-1,투썸플레이스 대구죽곡공원점,339,http://blogfiles.naver.net/20160326_80/kongjag1225_1458979169487FySqE_JPEG/IMG_9609.JPG#740x493,투썸죽곡공원점
"{'name': None, 'menu': None}","['일식', '샤브샤브']","[128.595, 35.8667237]",163845814190128,대구광역시 중구 동성로3가 82-1,스구식탁,1948,http://ldb.phinf.naver.net/20190108_269/15469138619147FDUA_JPEG/pe3NXhbuuM0smnAno825Jbph.jpeg.jpg,스구식탁
"{'name': None, 'menu': None}","['음식점', '치킨,닭강정']","[128.6219661, 35.826015]",331042497455245,대구광역시 수성구 두산동 655-1,만수통닭수성못본점,340,,만수통닭
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[128.537965, 35.8126614]",1750969791851431,대구광역시 달서구 상인동 1421-21,오늘은커피,4148,,오;늘은 커피
"{'name': None, 'menu': None}","['카페,디저트', '테이크아웃커피']","[128.6402125, 35.8565035]",1194514507303464,대구광역시 수성구 범어동 65-91 1층 가장 낭만적인 위로 Dayday,가장낭만적인위로Dayday,4332,http://ldb.phinf.naver.net/20190430_7/1556613840604VLGcX_JPEG/ORLfQMUJ6j60gnw-lNkJCFie.jpg,가장 낭만적인 위로 Dayday.
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[128.6077035, 35.8644131]",1490702764335402,대구광역시 중구 삼덕동3가 243-4,언쏠티드버터,4333,http://ldb.phinf.naver.net/20180103_20/1514978739683CERFX_JPEG/QWEaXhrURB78YiOhFpd44m4g.jpg,Unsalted Butter 언쏠티드 버터
"{'name': None, 'menu': None}","['한식', '백반,가정식']","[128.6521006, 35.854734]",329496237800342,대구광역시 수성구 만촌동 858-24,양문이,5147,http://ldb.phinf.naver.net/20181127_68/1543252199066gCbe4_JPEG/B72PtKs3r2nxf4mjPGTSjnZ8.jpg,양문이식당
"{'name': None, 'menu': None}","['음식점', '양식']","[128.5962367, 35.8670383]",1020029496,대구광역시 중구 삼덕동1가 11-3,블라썸,4681,http://ldb.phinf.naver.net/20181206_108/15441082672050f1Bu_JPEG/BnKwXd1GBTEyFqwIu4hn4NuI.JPG.jpg,동성로 블라썸
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[128.6343957, 35.8594787]",905555342,대구광역시 수성구 범어동 168-5,디스커버리커피로스터스,4767,http://ldb.phinf.naver.net/20160415_109/1460698670100bTYwg_JPEG/176358543532332_0.jpeg,디스커버리커피로스터스
"{'name': None, 'menu': None}","['음식점', '한식']","[128.6087223, 35.9047949]",280996168690412,대구광역시 북구 산격2동 1652,한티재,420,http://ldb.phinf.naver.net/20170530_71/1496140149212WCWR3_JPEG/KakaoTalk_20170523_165422784.jpg,한티재
"{'name': None, 'menu': None}","['한식', '돼지고기구이']","[128.5563974, 35.8709576]",363372163778932529,대구광역시 서구 평리동 1092-12,돼지만왕소금구이,449,,돼지만왕소금구이
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[128.6089936, 35.8516638]",1845429085722532,대구광역시 수성구 수성동1가 641-46,스카이제일막창,5,,스카이제일막창
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[128.6232414, 35.8595749]",249126895,대구광역시 수성구 범어동 557-8,르고메드파리16,5123,http://ldb.phinf.naver.net/20170405_292/1491372997945px9R3_JPEG/image.JPEG,르고메드 파리 16
"{'name': None, 'menu': None}","['술집', '와인']","[128.5967722, 35.866124]",1605883809709673,대구광역시 중구 봉산동 24-2,고도레트로,1390,,고도레트로
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[128.599172, 35.8704141]",192690054840352,대구광역시 중구 공평동 11-3,코러스커피,5570,http://ldb.phinf.naver.net/20190430_217/1556598012694JHhDm_JPEG/vHFmIOXw13RcdDF_C2OtcJC7.jpg,코러스커피
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[128.6227292, 35.8429932]",140940563278732,대구광역시 수성구 황금동 838-1,브라더막창 본점,55,http://ldb.phinf.naver.net/20170919_164/1505801039706d0aLf_JPEG/L1_zmiVhdU1Uk0m8vLjJwmMK.jpg,브라더막창
"{'name': None, 'menu': None}","['한식', '육류,고기요리']","[128.6001285, 35.8666136]",87078824,대구광역시 중구 삼덕동2가 144-7,경성상회,554,http://blogfiles.naver.net/20160314_66/pblnsoek_14579443961859EeYx_JPEG/photo_1.jpg#480x480,경성상회
"{'name': None, 'menu': None}","['해물,생선요리', '바닷가재요리']","[128.6174128, 35.8261719]",198846843954763,대구광역시 수성구 두산동 908-3,수성못 뉴욕바닷가재 본점,558,http://ldb.phinf.naver.net/20150825_193/14404820033527uAIF_JPEG/166775548340580_0.jpg,뉴욕바닷가재 수성점
"{'name': None, 'menu': None}","['술집', '요리주점']","[128.5986993, 35.8673448]",1023565876,대구광역시 중구 삼덕동1가 22-9,더짝 동성로점,65,,더짝동성로점
