broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.4245905, 36.3247039]",1091404410998461,대전광역시 중구 대흥동 452-17,파이브먼트 스튜디오커피,1292,,Fivement Studio Coffee
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[127.373821, 36.351348]",1012321867,대전광역시 서구 둔산2동 1097,할머니딸생양곱창,475,http://ldb.phinf.naver.net/20150831_235/1441018484649asEqL_JPEG/166566516965623_0.jpeg,할머니딸생양곱창
"{'name': None, 'menu': None}","['음식점', '양식']","[127.343192, 36.3405381]",1510351439271974,대전광역시 유성구 원신흥동 497-10,소브스위드살몬 대전점,492,http://ldb.phinf.naver.net/20190228_283/155132514927980tKm_JPEG/xhTKsOWvCRksV_gcVT5xqXP2.jpg,소브스위드살몬 대전점
"{'name': None, 'menu': None}","['음식점', '브런치']","[127.3751524, 36.3483557]",129304501105472,대전광역시 서구 갈마동 1032 1층 온기,온기,1374,http://ldb.phinf.naver.net/20180821_293/1534840315510OTbul_JPEG/TRtPlyZni6W16Hh2Y2Gi_jA0.jpeg.jpg,Onki_온기
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.3768817, 36.3520995]",1926531140897052,대전광역시 서구 둔산동 984 허니콤빌딩 6F,홀리크로스,542,http://ldb.phinf.naver.net/20150901_131/1441053270527GlSz6_JPEG/106272627247402_0.jpg,둔산동 홀리크로스
"{'name': None, 'menu': None}","['분식', '호떡']","[127.4492889, 36.2001804]",259470361436883,대전광역시 동구 하소동 460-1 만인산자연휴양림,봉이호떡,57,,봉이호떡
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.4566661, 36.3078443]",601815100217028,대전광역시 동구 가오동 534,fab table,723,http://ldb.phinf.naver.net/20180607_258/1528381436261RWBUt_JPEG/rhOfNqQVnBr7z3km636s-7tC.jpg,패브테이블
"{'name': None, 'menu': None}","['음식점', '인도음식']","[127.3879199, 36.3515323]",256627441,대전광역시 서구 둔산동 1455,북하라인디아,754,http://ldb.phinf.naver.net/20150825_229/1440480165529DPGFP_JPEG/166775545262021_0.jpg,북하라인디아
"{'name': None, 'menu': None}","['한식', '닭갈비']","[127.4029254, 36.3979445]",663616649,대전광역시 유성구 전민동 336-10,5.5닭갈비전민점,79,http://ldb.phinf.naver.net/20190131_196/1548937168688dtNEk_JPEG/feOQr5fXpMv_SwZ2ksDaiZlX.jpeg.jpg,오점오닭갈비
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[127.3895944, 36.3408747]",283433062081964,대전광역시 서구 괴정동 423-1 롯데백화점 대전점 9층,T.G.I.프라이데이스 롯데백화점대전점,8,http://ldb.phinf.naver.net/20180525_260/1527206156804tNJvt_JPEG/4NyevarbeTsKL35BqPx8jZg6.jpg,T.G.I.프라이데이스 대전둔산점
"{'name': None, 'menu': None}","['음식점', '브런치']","[127.3825476, 36.3659193]",365585963894130,대전광역시 서구 만년동 377,앨리스스프링스,93,http://ldb.phinf.naver.net/20171213_268/1513151610601eSXRK_JPEG/hFTvKBAq_fKfLDIjY35qhcCJ.jpeg.jpg,앨리스스프링스
