broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['술집', '이자카야']","[127.9482916, 37.3303518]",189484575222303,강원도 원주시 단구동 1515-10,ZEN DINING,316,http://ldb.phinf.naver.net/20180619_2/1529397917081JV9uT_JPEG/SS447vU2h6At_kmkpHRa-z87.jpeg.jpg,젠다이닝
"{'name': None, 'menu': None}","['한식', '국수']","[128.4655875, 37.1806845]",171928526252855,강원도 영월군 영월읍 하송리 184-9,상동식당,32,http://blogfiles.naver.net/20150802_110/springjshs_1438521242201UrWvz_JPEG/IMG_2954.JPG,상동막국수
"{'name': '식신로드1', 'menu': '커피'}","['카페,디저트', '카페']","[128.8920222, 37.6965074]",772947891,강원도 강릉시 구정면 어단리 산314,테라로사 커피공장,41916,http://ldb.phinf.naver.net/20150206_256/1423205404565iIakO_JPEG/%B0%AD%BF%F8_%B0%AD%B8%AA%C5%D7%B6%F3%B7%CE%BB%E7_1.JPG?type=m500_500,Terarosa  테라로사
"{'name': None, 'menu': None}","['한식', '돼지고기구이']","[128.8946, 37.752268]",612506909,강원도 강릉시 금학동 79,곽가네시오야끼,41,http://ldb.phinf.naver.net/20180409_25/1523248386008pjf5T_JPEG/FPXjQVsBG7tUPMOfQbhMJ2P2.jpg,곽가네시오야끼
"{'name': None, 'menu': None}","['음식점', '한식']","[128.8962482, 37.7591148]",1170420409778327,강원도 강릉시 교동 146-9,배배식당,483,http://ldb.phinf.naver.net/20180208_204/1518083347004cUlBr_JPEG/WG1g90yEGoN1sWnvLz8fqcff.jpg,배배식당
"{'name': '2TV생생정보', 'menu': '명태회냉면'}","['한식', '냉면']","[128.5898752, 38.2019835]",100547797,강원도 속초시 금호동 482-150,함흥냉면옥,1375,http://ldb.phinf.naver.net/20150925_238/1443161603767VcNbr_JPEG/166875554341674_0.jpg,함흥냉면옥
"{'name': '생방송투데이', 'menu': '닭갈비'}","['한식', '닭갈비']","[127.7830686, 37.9294633]",551862901675017,강원도 춘천시 신북읍 천전리 90-12,토담숯불닭갈비,5712,http://ldb.phinf.naver.net/20160428_21/1461824280334qhBA2_JPEG/176378554770050_79.jpeg,토담숯불닭갈비
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[128.916856, 37.796723]",1249851101795249,강원도 강릉시 강문동 297-10,카페폴앤메리,5825,http://ldb.phinf.naver.net/20150925_61/1443159326848ebDJQ_JPEG/166875546544775_0.jpg,폴앤메리버거 강문점
"{'name': None, 'menu': None}","['음식점', '한식']","[128.9174505, 37.7598094]",1002913372,강원도 강릉시 입암동 104-9,콩새야,5362,http://ldb.phinf.naver.net/20190521_149/15583703958201J9op_JPEG/pCWiXhfxDqZWlll9ZWj0nt6_.jpg,강릉 콩새야
"{'name': None, 'menu': None}","['일식', '일식당']","[127.9806008, 37.3242664]",157098748260876,강원도 원주시 반곡동 1880-8,이치카라텐,539,http://ldb.phinf.naver.net/20190604_47/1559629685390B4IVp_JPEG/SSeS46kcjVy5XV_cpQXhuUXf.jpg,이치카라텐
