broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['한식', '족발,보쌈']","[126.8452842, 35.2156492]",272765859,광주광역시 광산구 월계동 886-3,깐깐한족발 본점,331,http://ldb.phinf.naver.net/20181017_249/1539762055063zqd6M_JPEG/XcUQR9IAl8_5Ww9e-hnaESI5.jpg,깐깐한족발
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9223474, 35.1514044]",147055459267000,광주광역시 동구 동명동 200-158,바이닐,337,,동명동 바이닐
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9096599, 35.1355919]",185679065500483,광주광역시 남구 백운동 512-2 1층 양림길하나,양림 길하나,355,,양림길하나
"{'name': None, 'menu': None}","['일식', '초밥,롤']","[126.885003, 35.1228398]",285420973,광주광역시 서구 풍암동 1185-6,벗초밥,365,http://ldb.phinf.naver.net/20180604_241/1528078152943qQWhL_JPEG/o-kga5-rGgio96WJLi9cZbTU.jpg,벗초밥
"{'name': None, 'menu': None}","['술집', '요리주점']","[126.9231065, 35.1490374]",1593590897403481,광주광역시 동구 장동 67-14,하루,402,http://ldb.phinf.naver.net/20180315_61/1521096288618SxNKX_JPEG/dvz2gHyooZS3PSkFg1YJgwSj.jpg,이색주점하루
"{'name': None, 'menu': None}","['음식점', '햄버거']","[126.9231224, 35.1491186]",217045888857749,광주광역시 동구 장동 67-14 (2층),동명버거,539,http://ldb.phinf.naver.net/20180309_30/15205856125938mp08_JPEG/JdDA4HdxsBDQUDhcb0a2W3pu.jpg,동명버거
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.7934016, 35.1391964]",396641910803990,광주광역시 광산구 송정동 837-14,라라브레드 송정점,6855,http://ldb.phinf.naver.net/20180813_207/1534122099128tqjL7_JPEG/ltsoSUh8F4vW3hWA_hLChhXX.JPG.jpg,라라브레드 송정점
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.909376, 35.1353957]",2118611691801099,광주광역시 남구 백운동 594-1,카페Star,88,http://ldb.phinf.naver.net/20190110_123/154708061068416yiA_JPEG/rkWaeTtuyKuSHHHRxg-xhCI1.jpeg.jpg,카페star
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.8499249, 35.1519569]",1020828750,광주광역시 서구 치평동 1237-4,아웃백스테이크하우스 광주상무점,1754,http://ldb.phinf.naver.net/20160215_187/1455514350147gGXzT_JPEG/_20160204___0001.jpg,아웃백상무점
"{'name': None, 'menu': None}","['음식점', '한식']","[126.9148041, 35.1386176]",136550456983274,광주광역시 남구 양림동 322,캐쥬얼식당,1851,http://ldb.phinf.naver.net/20180508_5/1525767241637kERry_JPEG/Kqjpuh1tEya9lfDHAXoRzVaR.jpg,캐쥬얼식당
"{'name': None, 'menu': None}","['음식점', '한식']","[126.926301, 35.148541]",505768079629326,광주광역시 동구 동명동 143-55,재주당 본점,1921,,재주당
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.883267, 35.1626691]",1021175737,광주광역시 서구 광천동 60-21,KAFE52,11300,http://blogfiles.naver.net/MjAxNzA4MDVfNSAg/MDAxNTAxOTQxNTI5ODc5.ngjic1CilhpOSHZMqgoFkdNaaJxyn7rF5xIxtOpqChsg.vBdBtOPRW7xfdbJc3c8M5s9FJTG2sTvZoCtGEKqKgz4g.JPEG.ggongda9/DSC05182.JPG#966x543,Kafe52
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[126.9126701, 35.1768637]",259926791150090,광주광역시 북구 용봉동 152-31,또아식빵 전대점,110,http://ldb.phinf.naver.net/20190121_27/1548079987772PnT7v_JPEG/3k5YVZOp5J4w_BXyNZPiLvUR.jpg,또아식빵
"{'name': None, 'menu': None}","['한식', '돼지고기구이']","[126.8756907, 35.1742517]",2401788,광주광역시 북구 운암동 406-7,돈구이불붙었네,146,http://blogfiles.naver.net/20160302_30/kimna2007_14569203992306C3jK_JPEG/DSC05778.JPG#6000x4000,돈구이불붙었네
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9260771, 35.1474374]",581327098933442,광주광역시 동구 동명동 140-2,THE OTHER SIDE,147,http://ldb.phinf.naver.net/20180508_72/1525773745724qyJjI_JPEG/jQTRNs_DkDtGbHqwWs4EXxgY.jpg,The Other Side
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.9256795, 35.1719067]",706404413025816,광주광역시 북구 두암동 880-21,카페린느,19,http://ldb.phinf.naver.net/20171019_282/1508378455930N8Sy7_JPEG/_pw89gYzi8fPx5GqtvdVv-9S.JPG.jpg,카페 린느
