broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['한식', '국수']","[127.2259523, 37.5122486]",1827040637559624,경기도 하남시 하산곡동 246-1,망향비빔국수 미사리점,226,http://ldb.phinf.naver.net/20190517_296/15580589222936rnGp_JPEG/Puv0CvviMvyboj86Fe26Bod3.jpg,망향비빔국수 미사리점
"{'name': None, 'menu': None}","['음식점', '스테이크,립']","[126.7539117, 37.6936347]",166598930605106,경기도 고양시 일산서구 덕이동 402-6,더기스 스테이크하우스,256,http://ldb.phinf.naver.net/20171129_279/1511938887436StY4C_JPEG/23KXLGyj7Lpo-I1SZfoxZdBF.jpg,더기스  Deoggies
"{'name': None, 'menu': None}","['일식', '돈가스']","[127.0553453, 37.730772]",102000223719220,경기도 의정부시 신곡동 719-8,홍익돈까스 의정부신곡점,361,http://ldb.phinf.naver.net/20170511_128/1494468505480QXtS7_JPEG/186461513844361_0.jpeg,홍익돈가스 신곡점
"{'name': None, 'menu': None}","['술집', '바(BAR)']","[126.9184843, 37.4030971]",901470704,경기도 안양시 만안구 안양동 688-29,미스틱쵸우,721,http://ldb.phinf.naver.net/20171207_137/1512572540762f3q1q_JPEG/Dpe-IUngf87gaRAphzMWMC-T.jpeg.jpg,미스틱쵸우
"{'name': None, 'menu': None}","['일식', '초밥,롤']","[126.7739772, 37.6548839]",278685416104198,경기도 고양시 일산동구 장항동 852-1,청담초밥 일산직영점,316,http://ldb.phinf.naver.net/20181120_144/154270599424272Uvh_JPEG/YFlMewE9-Rf6wUoeisFTItDo.jpg,청담초밥 일산직영점
"{'name': None, 'menu': None}","['한식', '냉면']","[127.1124988, 37.6435642]",370047912,경기도 구리시 갈매동 504-9,팔당냉면 별내점,316,http://ldb.phinf.naver.net/20151209_180/1449631743084O4BWX_JPEG/167159525921583_0.jpg,별내 팔당냉면
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.2237407, 37.5454361]",548941028644792,경기도 하남시 신장동 616,르브레드랩 신세계하남스타필드점,316,http://blogfiles.naver.net/MjAxNzA0MjdfMjk0/MDAxNDkzMzAyNzY5MTk2.TjFDclPtzKCUUBUJGlvy4DS2mbmAbk76xykWfsQU4gMg.TIohWlJihLPn-gKBmuM3sKwztvXTWX3ZRXppNJfmjygg.JPEG.taijilll/DSC06456.JPG#3568x2368,르브레드랩
"{'name': None, 'menu': None}","['음식점', '브런치']","[127.2236734, 37.5937028]",303238787021057,경기도 남양주시 와부읍 월문리 1247-4,la brune,337,http://ldb.phinf.naver.net/20190513_78/1557724035707BH6u2_JPEG/FUJx116TQ1lUuBou47jz8jvb.jpg,라브륀느
"{'name': None, 'menu': None}","['한식', '닭요리']","[126.917875, 37.3995833]",461368556,경기도 안양시 만안구 안양3동 695-200,원조닭꼬치,32,http://ldb.phinf.naver.net/20190521_128/1558430258535U92A7_JPEG/EZG0AZ0BD0VlMtYuomaP28Md.jpg,원조꼬치
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.031346, 37.259227]",219664733,경기도 수원시 팔달구 인계동 1132-12,스타벅스 수원이비스점,324,http://ldb.phinf.naver.net/20151112_294/1447316784020fNqpg_JPEG/167062575643581_0.jpeg,인계동스타벅스
"{'name': None, 'menu': None}","['한식', '굴요리']","[126.768325, 37.6626154]",508623264,경기도 고양시 일산동구 장항동 778-2,굴사냥 라페점,33,http://blogfiles.naver.net/20160621_38/dreamsb1_1466484708995OzAbd_JPEG/KakaoTalk_20160621_134520758.jpg#960x720,라페스타 굴사냥
"{'name': None, 'menu': None}","['일식', '돈가스']","[127.0535978, 37.1767987]",1951097058512975,경기도 오산시 금암동 494-3,바오돈까스,33,,바오돈까스
