broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '브런치']","[129.3042945, 36.009245]",1787187101558994,경상북도 포항시 남구 연일읍 자명리 744-16 콩테이너,콩테이너,938,http://ldb.phinf.naver.net/20161214_91/1481703952615syvRv_JPEG/IMG_0688.jpg,Congtainer
"{'name': None, 'menu': None}","['일식', '일식당']","[129.4035324, 36.0815481]",2013795842229188,경상북도 포항시 북구 양덕동 1780 1층 오또상스테끼,오또상스테끼,317,http://ldb.phinf.naver.net/20170814_126/1502718540998ENhyc_JPEG/piu6zyCuosQ5W-5zl_VH8xKt.JPG.jpg,포항 오또상스테끼
"{'name': None, 'menu': None}","['음식점', '퓨전음식']","[128.1476683, 35.1760688]",570083733171055,경상남도 진주시 충무공동 282-1,달테이블 진주점,32,http://ldb.phinf.naver.net/20170427_1/1493271913523vWU9p_JPEG/186377547532010_0.jpeg,달테이블
"{'name': None, 'menu': None}","['음식점', '피자']","[128.340875, 36.121637]",623462647838398,경상북도 구미시 송정동 4-2 102호,59쌀피자 구미송정점,333,http://ldb.phinf.naver.net/20190422_208/1555898544205jYCyV_PNG/88bbvTvafauxu82o4CLstVaN.png,금오산 쌀
"{'name': None, 'menu': None}","['음식점', '한식']","[128.6363586, 35.2561122]",262356123,경상남도 창원시 의창구 도계동 403-10 1층 돼지새끼,대새네,336,,돼지새끼
"{'name': None, 'menu': None}","['한식', '한정식']","[128.6258992, 34.8869843]",1255860241150263,경상남도 거제시 고현동 45-8,승천냉면갈비찜,35,,승천냉면갈비찜전문점
"{'name': None, 'menu': None}","['카페,디저트', '빙수']","[129.0283957, 35.3389612]",393156751,경상남도 양산시 중부동 688-1 1층,감미모찌,36,http://ldb.phinf.naver.net/20150902_241/1441126232064kW2TD_JPEG/SUBMIT_1405422619644_35142581.jpg,감미모찌
"{'name': None, 'menu': None}","['음식점', '베트남음식']","[128.4322048, 36.0936992]",221113991778545,경상북도 구미시 진평동 67-5,베트남노상식당 구미진평점,38,http://ldb.phinf.naver.net/20180212_154/1518415712231dfpXR_JPEG/qHA0bt5Wx2SbxB1_r-aMUv0x.jpg,베트남노상식당 구미
"{'name': '2TV생생정보', 'menu': '밀면'}","['한식', '국수']","[128.646515, 35.2485997]",326552139,경상남도 창원시 의창구 명서동 75-15,명서밀면,398,http://blogfiles.naver.net/20160119_218/khwow77_1453130487399zSof9_JPEG/20151206_113802.jpg#900x675,명서밀면
"{'name': '맛있는녀석들', 'menu': '빵'}","['카페,디저트', '베이커리']","[128.7309661, 36.5647364]",214870515,경상북도 안동시 남부동 164-1,맘모스베이커리,4503,http://ldb.phinf.naver.net/20160108_162/1452233586959qPidJ_JPEG/176058554326556_0.jpg,안동 맘모스제과점
