broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.70435, 37.4569179]",559501545,인천광역시 남동구 간석1동 482-2,유키돈까스,320,http://blogfiles.naver.net/20160621_174/qufgk94_14664677309159JQuA_JPEG/P20160615_114914884_DE35DC43-CF1C-481E-9BEF-F2A271F364F2.JPG#1600x1200,유키 돈까스
"{'name': None, 'menu': None}","['술집', '바(BAR)']","[126.6576284, 37.4528511]",1924023174531099,인천광역시 미추홀구 용현동 195-21,미로뮤지엄,1294,http://ldb.phinf.naver.net/20181021_297/1540130518430JiP9k_JPEG/LI8NT1b3jlEGKwrwSqVkFWnc.jpg,미로뮤지엄
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.7011966, 37.446374]",435911943422494,인천광역시 남동구 구월동 1456,마호가니 인천구월점,1594,http://ldb.phinf.naver.net/20190615_14/1560572630836pKqmN_JPEG/BEmXM72LPcY_nrtY8bza5rCR.jpg,Mahogany
"{'name': None, 'menu': None}","['양식', '이탈리아음식']","[126.7017015, 37.4463664]",1023978498,인천광역시 남동구 구월동 1457-1,마초쉐프 구월점,1593,http://ldb.phinf.naver.net/20160327_138/1459083660506dogEi_JPEG/176277623120278_0.jpeg,마초쉐프 구월점
"{'name': None, 'menu': None}","['한식', '감자탕']","[126.6342891, 37.4541643]",248051772545919,인천광역시 미추홀구 용현5동 629-56,이대조뼈다귀해장국,37,http://blogfiles.naver.net/20160224_227/rnthdgml82_1456288459872MUKSD_JPEG/20150828_184149.jpg#1600x900,이대조 뼈다귀
"{'name': None, 'menu': None}","['한식', '육류,고기요리']","[126.6364841, 37.4294567]",125177811220055,인천광역시 연수구 옥련동 194-46,송도이동갈비 본점,38,http://ldb.phinf.naver.net/20190418_238/15555620813655cB35_JPEG/l2g8M168wQ5C6KWrxhUapeKa.jpg,송도이동갈비
"{'name': None, 'menu': None}","['한식', '조개요리']","[126.4104909, 37.4378569]",502990011,인천광역시 중구 덕교동 671-1,서해안조개광장,400,http://ldb.phinf.naver.net/20180305_208/1520214678679aNNcf_PNG/YNrjOklWGZr0NYjgMVv0vJlN.png,서해안 조개광장
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.7015766, 37.4498627]",234315743,인천광역시 남동구 구월동 1126-1,아웃백스테이크하우스 인천구월점,440,http://ldb.phinf.naver.net/20160105_114/1451963322345bcUJ7_JPEG/_2015220_O2O___0001.jpg,아웃백 구월점
"{'name': '맛있는녀석들', 'menu': '미국식중국요리'}","['음식점', '아시아음식']","[126.6601815, 37.3804627]",1829261440658612,인천광역시 연수구 송도동 174-3 B동 2층,피에프창 송도트리플스트리트,470,http://ldb.phinf.naver.net/20190127_32/15485674431556ylta_JPEG/s7MrDeVerRnnf7WsFKYOV49E.jpg,송도 피에프창
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.7215424, 37.4930636]",1174923405906715,인천광역시 부평구 부평동 546-9,NOYB,5097,http://ldb.phinf.naver.net/20180827_157/1535355948440FnT6Q_JPEG/l3aPOI9xTCkfiejvKystNQbc.jpeg.jpg,NOYB Cafe&pub
"{'name': '생방송오늘저녁', 'menu': '황제해물찜'}","['한식', '조개요리']","[126.4065841, 37.4392094]",541154034,인천광역시 중구 덕교동 750,불티나 조개구이,501,http://ldb.phinf.naver.net/20170921_293/1506004184076bwq8x_JPEG/nPvzW-aRo17-RjifPAatbcYX.jpg,불티나 조개구이
"{'name': None, 'menu': None}","['한식', '육류,고기요리']","[126.7254017, 37.4919503]",369976675,인천광역시 부평구 부평5동 155-38,신매운양푼갈비찜 부평본점,59,http://blogfiles.naver.net/20160328_209/liana3_1459122585795G2wml_JPEG/DSC04948.JPG#900x599,부평매운갈비찜
"{'name': None, 'menu': None}","['음식점', '한식']","[126.6365107, 37.4529611]",440219206082543,인천광역시 미추홀구 용현동 621-13,해안선,6,,해안선
"{'name': None, 'menu': None}","['음식점', '브런치']","[126.7317971, 37.5200166]",210960859679260,인천광역시 부평구 삼산동 222-47,아날로그 2호점,605,http://ldb.phinf.naver.net/20160315_159/1458020908554CHuKR_JPEG/176260558337591_2.jpeg,아날로그2호점
"{'name': '생방송오늘저녁', 'menu': '젓국갈비'}","['음식점', '한식']","[126.419687, 37.640482]",85878487,인천광역시 강화군 화도면 상방리 599-4,편가네된장,1485,http://ldb.phinf.naver.net/20151124_13/1448352326739cMsMM_JPEG/167074573545094_0.jpg,편가네 된장
"{'name': None, 'menu': None}","['음식점', '일식,초밥뷔페']","[126.7385029, 37.5381659]",160917167816412,인천광역시 계양구 용종동 211-4 10층,쿠우쿠우 인천계양점,72,,쿠우쿠우 인천계양점
"{'name': None, 'menu': None}","['음식점', '햄버거']","[126.7231437, 37.4949893]",342291062,인천광역시 부평구 부평동 212-13,그랩어비,733,http://ldb.phinf.naver.net/20151202_108/1449034904229c02ax_PNG/167152547162340_0.png,부평 그랩어비
