broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.3091564, 33.4636041]",123931088309657,제주특별자치도 제주시 애월읍 애월리 2550-2,하이엔드제주,33000,http://ldb.phinf.naver.net/20180820_180/1534725719343mgCe8_JPEG/7Dpv9yEHdNaHt0NlKZ59v-9F.jpg,하이엔드 제주
"{'name': None, 'menu': None}","['음식점', '한식']","[126.6854923, 33.5452575]",904034483050375,제주특별자치도 제주시 조천읍 북촌리 1570-3,현우식당,38,,현우식당
"{'name': '테이스티로드시즌3', 'menu': '뷔페'}","['음식점', '뷔페']","[126.4079489, 33.2469269]",296185561106842,제주특별자치도 서귀포시 색달동 3039-3 3층,호텔신라제주 더파크뷰,389,http://blogfiles.naver.net/20160223_50/vaius_1456218098388FjMHV_JPEG/IMG_5080_copy.jpg#550x412,더 파크뷰 (The Parkview)
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[126.8068015, 33.5563014]",681546069,제주특별자치도 제주시 구좌읍 행원리 1482-2,주네가네,4263,http://ldb.phinf.naver.net/20181020_242/1540008812585EAdrl_JPEG/5_O3WHVSsQ6pURWB-MR-hiK-.JPG.jpg,주네가네 키친&카페
"{'name': None, 'menu': None}","['한식', '돼지고기구이']","[126.9198704, 33.4692784]",89626013,제주특별자치도 서귀포시 성산읍 오조리 367-1,복자씨연탄구이,4336,http://ldb.phinf.naver.net/20151113_9/1447394678847FAWvV_JPEG/167063553457368_0.jpg,복자씨연탄구이
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.9206556, 33.4497182]",1225673774197599,제주특별자치도 서귀포시 성산읍 고성리 238,스타벅스 제주성산DT점,4470,http://ldb.phinf.naver.net/20151112_294/1447316784020fNqpg_JPEG/167062575643581_0.jpeg,스타벅스 제주성산dt점
"{'name': None, 'menu': None}","['음식점', '양식']","[126.2278008, 33.389944]",1627633797526584,제주특별자치도 제주시 한림읍 금능리 1494-3,피어22,4493,,피어22
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.3108241, 33.4620403]",160252934913083,제주특별자치도 제주시 애월읍 애월리 2489,투썸플레이스 제주애월한담점,4523,http://ldb.phinf.naver.net/20180109_51/1515476188652XF0tm_PNG/93A32lIMP3Q1NOkxyiG_VwR4.png,애월해안가
"{'name': None, 'menu': None}","['음식점', '양식']","[126.3818635, 33.485516]",1701104596567112,제주특별자치도 제주시 애월읍 구엄리 505,제주크랩잭,4916,http://ldb.phinf.naver.net/20170919_231/1505828749418ftyp0_JPEG/5a_fAhIRib0bntTNocjcF1CJ.jpg,크랩잭제주
"{'name': None, 'menu': None}","['음식점', '햄버거']","[126.2402878, 33.3935893]",251335348755257,제주특별자치도 제주시 한림읍 협재리 2447-27,랍스타벅스,1343,http://ldb.phinf.naver.net/20180706_78/1530848959217cNxf7_JPEG/HAOMWHkq2vkY51BU9HA_i356.JPG.jpg,랍스타벅스
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[126.5111414, 33.2517061]",246051929356779,제주특별자치도 서귀포시 서호동 1476-1,베이크샵스니프,422,http://ldb.phinf.naver.net/20190112_290/1547274468753IvaoJ_JPEG/PCvKE5pjF66WOPjxUdZGJelj.jpeg.jpg,베이크샵스니프 bakeshop sniff
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[126.6716378, 33.5421168]",898712897001144,제주특별자치도 제주시 조천읍 함덕리 270-1,오드랑베이커리,431,http://ldb.phinf.naver.net/20180305_26/1520231619675oOAMR_PNG/xGaNf71X--q7uhqZA9XwUrsU.png,오드랑 베이커리
"{'name': None, 'menu': None}","['음식점', '한식']","[126.5328742, 33.4893384]",556710404527085,제주특별자치도 제주시 이도2동 2034-7,형돈,435,http://ldb.phinf.naver.net/20170302_181/1488421633521iUDSH_JPEG/186252515732420_0.jpeg,형돈
"{'name': None, 'menu': None}","['일식', '일식당']","[126.6651787, 33.5425721]",323874351472718,제주특별자치도 제주시 조천읍 함덕리 1252-55,새우조나단,440,http://ldb.phinf.naver.net/20180330_124/1522392278922rmbj8_PNG/FyjK8wDgDJ_tD8oAyQYfSGju.png,새우조나단
"{'name': None, 'menu': None}","['일식', '카레']","[126.3810921, 33.4842503]",344590096297465,제주특별자치도 제주시 애월읍 구엄리 509,사이카레,1366,http://ldb.phinf.naver.net/20181023_280/1540257029361HHWMG_JPEG/-Er6GyK6VntWtKDElExBVGuR.jpg,사이카레
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.884752, 33.526578]",586835775016219,제주특별자치도 제주시 구좌읍 하도리 1767,살찐고등어,451,http://ldb.phinf.naver.net/20180414_81/1523682072443O17gb_JPEG/H_tVrgLEtAs2PndLLt7G_Vu_.jpg,살찐고등어
"{'name': None, 'menu': None}","['음식점', '한식']","[126.5525554, 33.4723592]",204650190100591,제주특별자치도 제주시 아라2동 821-2,시머폿,49,http://ldb.phinf.naver.net/20170510_170/1494389940148HVzsH_JPEG/186459553727331_0.jpeg,시머폿
"{'name': None, 'menu': None}","['일식', '일식당']","[126.83957, 33.5360421]",1420722414727528,제주특별자치도 제주시 구좌읍 평대리 2022-5,레이식당,580,http://ldb.phinf.naver.net/20170206_215/1486342535971U48ok_JPEG/186156498555854_0.jpeg,레이식당
"{'name': '식신로드1', 'menu': '순대백반'}","['한식', '순대,순대국']","[126.716942, 33.2784123]",151478110,제주특별자치도 서귀포시 남원읍 남원리 139-9,범일분식,582,http://ldb.phinf.naver.net/20190423_210/15560302688773LFtP_JPEG/6pCD2RFjKokmSQGV9LFxvkNC.jpeg.jpg,범일분식
