broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.9722985, 35.9589233]",1025280695,전라북도 익산시 영등동 831-1,애슐리W 홈플러스 익산점,320,http://ldb.phinf.naver.net/20190114_72/1547455095998vj4Ok_JPEG/Album_4466023280.jpg,익산애슐리
"{'name': '생방송투데이', 'menu': '전통호떡'}","['분식', '호떡']","[126.7224549, 35.9824583]",1919384578134014,전라북도 군산시 경암동 365,중동호떡,34,http://ldb.phinf.naver.net/20151124_139/1448349093102nR4eo_JPEG/167074564152072_0.jpg,군산 중동호떡
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[126.465227, 34.8098889]",335485228,전라남도 무안군 삼향읍 남악리 2265,아웃백스테이크하우스 목포남악점,643,http://ldb.phinf.naver.net/20160215_22/1455515846865Bqmey_JPEG/_20160203___0001.jpg,아웃백 스테이크하우스 Outback Steak House 목포남악점
"{'name': '생방송오늘저녁', 'menu': '찐빵'}","['카페,디저트', '찐빵']","[126.6182931, 35.5947383]",1023354728,전라북도 부안군 진서면 진서리 1219-73,슬지네찐빵 슬지제빵소,4833,http://ldb.phinf.naver.net/20170804_61/1501815730660p2sY6_JPEG/186678544530194_0.jpeg,슬지네찐빵
"{'name': '생방송투데이', 'menu': '나주곰탕'}","['한식', '곰탕,설렁탕']","[126.7168759, 35.0322284]",2834289,전라남도 나주시 중앙동 48-17,하얀집,4402,http://ldb.phinf.naver.net/20160203_202/1454485395387Lal3x_JPEG/176153567334272_0.jpg,나주곰탕 하얀집
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.1390584, 35.8181223]",200883520637494,전라북도 전주시 완산구 다가동3가 53-1,나잇나잇,4985,http://ldb.phinf.naver.net/20180531_64/15277396976568cHgK_JPEG/081PG1EGSeAU6S6Y8m03gFL6.jpg,카페나잇나잇
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.1498451, 35.8196541]",182299985806052,전라북도 전주시 완산구 경원동3가 80-13,포티파이브커피,1358,http://ldb.phinf.naver.net/20180615_169/1529052045722g2Xd6_JPEG/3cvB_K1BbnmgelCvazKLHfTv.jpg,FortyFive
"{'name': None, 'menu': None}","['한식', '두부요리']","[127.556591, 34.84919]",697113113783891,전라남도 여수시 율촌면 가장리 2002-2,풀뿌리흑두부,49,http://ldb.phinf.naver.net/20161206_26/1481023708218POr6Y_JPEG/177156605845598_0.jpeg,풀뿌리흑두부
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.138364, 35.8197731]",1672740239695411,전라북도 전주시 완산구 다가동4가 119-1,폴스베이커리,5045,http://ldb.phinf.naver.net/20170627_278/1498574439079TDQpI_JPEG/186577637057947_0.jpeg,폴스베이커리
"{'name': None, 'menu': None}","['음식점', '한식']","[127.1414508, 35.8173694]",202049013742879,전라북도 전주시 완산구 중앙동1가 31-1,효자수산,993,,객리단길 효자수산
