broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[127.1334125, 37.5090583]",658968182,서울특별시 송파구 오금동 4-13,오발탄 송파점,1138,http://ldb.phinf.naver.net/20180119_186/1516343178308p51Id_PNG/bt45cRAt89UJozCxvxa8VEHM.PNG.png,오발탄
"{'name': '생활의달인', 'menu': '일본라면'}","['일식', '일본식라면']","[127.0201474, 37.5109294]",249624622,서울특별시 서초구 잠원동 38-26,라멘모토,1825,http://ldb.phinf.naver.net/20180209_157/15181790892002V97i_JPEG/Phct6fUzCjizxn9OioKQRzvA.JPG.jpg,논현 라멘모토
"{'name': '생방송투데이', 'menu': '돈가스'}","['일식', '돈가스']","[126.9220529, 37.5526649]",302134491,서울특별시 마포구 서교동 358-49 102호,혼가츠,3473,http://ldb.phinf.naver.net/20150901_287/1441086090585YiUbK_JPEG/166652587269713_0.jpg,홍대 혼카츠
"{'name': None, 'menu': None}","['술집', '맥주,호프']","[127.009136, 37.5050013]",487965651,서울특별시 서초구 반포동 118-6,데블스도어 센트럴시티점,19428,http://ldb.phinf.naver.net/20160329_63/1459240746068f0cbq_JPEG/176279576924737_0.jpg,데블스도어
"{'name': None, 'menu': None}","['음식점', '한식']","[126.9908221, 37.5737826]",264666226,서울특별시 종로구 익선동 156,오죽이네,897,http://ldb.phinf.naver.net/20181116_174/1542357928756QxSs9_JPEG/ltAM_Cg_4DYJwLOcb86tlf5T.jpg,종로 오죽이네
"{'name': None, 'menu': None}","['중식', '중식당']","[127.0479564, 37.5031647]",1917668804982816,서울특별시 강남구 역삼동 708-20,박사부,1,,박사부
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.97638, 37.5707418]",241925332,서울특별시 종로구 세종로 200,할리스커피 세종로점,1000,http://ldb.phinf.naver.net/20170221_90/1487640821752TozEV_JPEG/186171506360991_0.jpeg,할리스 커피
"{'name': '생생정보통', 'menu': '팥빙수'}","['술집', '요리주점']","[126.9981972, 37.5927809]",146059026207241,서울특별시 성북구 성북동 122-7,째즈스토리,314,http://ldb.phinf.naver.net/20180209_45/15181047713625W9Rd_JPEG/QFm1NhuXE1E0YgTScaRqSyxH.jpg,째즈스토리 성북동
"{'name': '수요미식회', 'menu': '떡볶이'}","['분식', '떡볶이']","[127.077816, 37.628185]",693361801,서울특별시 노원구 공릉동 208-18,쪼매매운떡볶이공릉점,319,http://blogfiles.naver.net/MjAxODAxMDJfMTY0/MDAxNTE0ODY1MTA0ODY0.yWds5sh-nNifOp1Ni5C7oRxN34sI43fJJRX-NvhkDc0g.uBIY0J339Roul6S3fEj5IGM4_UoOwzVjmdCPNM_M_rEg.JPEG.jinmeizhi/P20171231_170117210_3DA956E8-9319-49BA-9D7C-1DE4B735C1E6.JPG#400x300,쪼매매운떡볶이
"{'name': None, 'menu': None}","['음식점', '햄버거']","[126.9117493, 37.5509096]",909697009224165,서울특별시 마포구 합정동 473,바비브로스 버거&쉐이크,8217,http://ldb.phinf.naver.net/20190122_48/1548146653240qCE73_JPEG/q2LIGz_9qZUO_R_AnZNEorc9.JPG.jpg,Bobbybros
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.0280426, 37.5030124]",239485922,서울특별시 강남구 역삼동 618-11,알베르,32400,http://ldb.phinf.naver.net/20150901_65/1441078995193WHd7R_JPEG/166761513658589_0.jpg,Alver 알베르
"{'name': None, 'menu': None}","['음식점', '인도음식']","[126.999186, 37.582464]",520136161747038,서울특별시 종로구 명륜4가 170-3 2층,깔리,320,http://ldb.phinf.naver.net/20150925_54/1443158320980iDcL9_JPEG/166875544855830_0.jpg,깔리 (Kali)
"{'name': None, 'menu': None}","['양식', '스테이크,립']","[127.0778074, 37.6504837]",2217725971572798,서울특별시 노원구 중계동 364-24 1층 미사리 스테이크,미사리스테이크 중계점,33,http://ldb.phinf.naver.net/20181101_284/1541055425880z8mnh_JPEG/TPYv3ck5225T7M2Z4tLBVQke.jpg,미사리스테이크
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.0582135, 37.5447845]",1005227572956739,서울특별시 성동구 성수동2가 277-135,어니언 성수,93900,http://ldb.phinf.naver.net/20190204_269/1549212634045uJAvX_PNG/Zfpnq_GUADvxtxA8DK6xvfOK.png,성수동 어니언
"{'name': None, 'menu': None}","['음식점', '양식']","[126.9291959, 37.4817717]",74625529,서울특별시 관악구 신림동 1637-26,르브와 신림점,331,http://ldb.phinf.naver.net/20150901_222/14411084949919FShg_JPEG/30805267_0.jpg,르브와
"{'name': None, 'menu': None}","['술집', '맥주,호프']","[127.009136, 37.5050013]",487965651,서울특별시 서초구 반포동 118-6,데블스도어 센트럴시티점,19428,http://ldb.phinf.naver.net/20160329_63/1459240746068f0cbq_JPEG/176279576924737_0.jpg,데블스도어
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.928613, 37.483801]",261446239,서울특별시 관악구 신림동 1640-3 2-4F,카페베네 신림역점,337,http://ldb.phinf.naver.net/20150831_4/1440991126925ScwnG_JPEG/137166576246550_0.jpeg,카페베네 신림점
"{'name': None, 'menu': None}","['술집', '포장마차']","[127.0628074, 37.6571076]",559372262,서울특별시 노원구 상계동 357-2,까마귀포차,337,http://blogfiles.naver.net/MjAxODA0MjdfMTU1/MDAxNTI0Nzg0MzA2Nzg0.Mmnvg9hVebigFXmbZsAJtpwz0kRsB4FphN0cVoBz1Fcg.WRH3Sw0lIQpJ37CatDRN6RInEFham2YkzjHb4q9bsZAg.JPEG.rian7321/output_1858570401.jpg#900x675,노원 까마귀 포차
"{'name': None, 'menu': None}","['술집', '포장마차']","[126.939776, 37.510025]",20852223,서울특별시 동작구 노량진2동 231-10,오감만족,338,http://ldb.phinf.naver.net/20180306_66/1520297836882Y63TA_PNG/MwX7OUhx_qZVuJLM-UDqsHXv.png,오감만족
"{'name': None, 'menu': None}","['술집', '이자카야']","[126.9350881, 37.5725753]",1033253279,서울특별시 서대문구 연희동 81-1 거화빌딩 2층,이자카야로바다야카덴,4016,http://ldb.phinf.naver.net/20170415_273/1492220562159P2yp7_JPEG/186365507261617_0.jpeg,이자카야카덴
"{'name': '생방송투데이', 'menu': '매운냉면'}","['한식', '냉면']","[127.0436983, 37.5823363]",261538622,서울특별시 동대문구 제기동 470,할머니냉면,1299,http://ldb.phinf.naver.net/20180112_211/1515723163887vrbhm_JPEG/rXt17YQ89CbXuC_lp1b7pfep.jpg,청량리 할머니냉면
"{'name': None, 'menu': None}","['일식', '돈가스']","[126.8945884, 37.5365501]",444536509405440,서울특별시 영등포구 양평동4가 85-1 2층,바삭하게,34,http://ldb.phinf.naver.net/20170711_8/1499748140996r9Q3I_JPEG/186660635559711_0.jpeg,바삭하게
