broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,thumUrl,title
"{'name': None, 'menu': None}","['분식', '종합분식']","[129.3373841, 35.5384836]",1031477943,울산광역시 남구 삼산동 1478-5,섬섬옥수,346,http://ldb.phinf.naver.net/20180628_202/1530164961756bW1Q4_JPEG/gqPhhbqmhRknsxZGidQkZTgO.JPG.jpg,섬섬옥수
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[129.303153, 35.557313]",521436558230847,울산광역시 중구 유곡동 125-17,생식본능,557,http://ldb.phinf.naver.net/20180105_19/1515137955859TOLgW_JPEG/MmaWpKVC4Ov-aJlYOKuY7Hfu.jpg,생식본능
"{'name': None, 'menu': None}","['양식', '브런치']","[129.3191663, 35.5765801]",340633886443153,울산광역시 중구 성안동 493-6,카페 소쿠리 1호점,610,http://ldb.phinf.naver.net/20180116_153/15160649014792gAud_JPEG/sJEXeTI78caSf4F2sPf_cfyb.jpg,카페소쿠리
"{'name': None, 'menu': None}","['중식', '중식당']","[129.3289928, 35.5364277]",727372645,울산광역시 남구 달동 1271-1,해동짬뽕,682,,울산 해동 중화요리
"{'name': '찾아라맛있는TV', 'menu': '육회비빔밥'}","['한식', '비빔밥']","[129.3142451, 35.5399504]",293908141443886,울산광역시 남구 신정3동 579-4,함양집,738,http://ldb.phinf.naver.net/20160701_220/1467339476390jocgR_JPEG/3.jpg,함양집
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[129.3329239, 35.5409723]",339858906419254,울산광역시 남구 달동 1350-16,드마르,763,,드마르 De mar
"{'name': None, 'menu': None}","['음식점', '이탈리아음식']","[129.3168674, 35.553578]",172362033569948,울산광역시 중구 성남동 190-192,하러댄파스타,1770,http://ldb.phinf.naver.net/20190126_199/1548488253840Vjy67_JPEG/2-UpLQYXklQcx77Rj3FY9Mo-.jpeg.jpg,하러댄파스타 Hotterthanpasta
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.300725, 35.537517]",325991558101795,"울산광역시 남구 신정동 1645-3 1,2층",시드노트,111,http://ldb.phinf.naver.net/20190419_58/1555682716125izscG_JPEG/T02GA9b8k0ZCD-hOjMelPwtR.jpg,시드노트
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[129.4304287, 35.5115748]",622242253,울산광역시 동구 전하2동 621-3 1층,투썸플레이스 울산전하점,177,,투썸 울산일산점
"{'name': None, 'menu': None}","['음식점', '패밀리레스토랑']","[129.4282022, 35.4976473]",312729022,울산광역시 동구 일산동 952-1,라라코스트 울산 일산점,193,http://ldb.phinf.naver.net/20190221_8/1550725674921jx5Bv_PNG/8VJKDnnrKaL49npckC8X2HgL.png,일산지 라라코스트
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[129.273538, 35.55225]",42729716,울산광역시 남구 무거동 1159-13,미진돌곱창,2065,http://blogfiles.naver.net/20160310_271/puresunny83_1457542272497cNX7W_JPEG/20160221_125311.jpg#740x555,미진돌곱창
"{'name': None, 'menu': None}","['술집', '요리주점']","[129.3348653, 35.5358151]",2025266914360197,울산광역시 남구 달동 1283-16,문타,228,http://ldb.phinf.naver.net/20171005_294/1507190649192YH1QF_JPEG/9SRKossMQ-91e-9g2cr0HD31.jpg,문타
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.1249626, 35.5711943]",181486989446317,울산광역시 울주군 언양읍 동부리 373-2,이랑커피,259,http://ldb.phinf.naver.net/20180205_258/1517818838319qaBLd_JPEG/ZKpZYYYwYvTm_vQ0-9chasXw.jpeg.jpg,이랑커피
"{'name': None, 'menu': None}","['한식', '육류,고기요리']","[129.3368059, 35.5379154]",162772574411511,울산광역시 남구 삼산동 1476-2,구워삶기 울산삼산점,283,http://ldb.phinf.naver.net/20170928_146/1506573171139HgEa6_JPEG/RZ5rMATEQL8MxsiN4v9aOCrF.JPG.jpg,삼산동 구워삶기
"{'name': None, 'menu': None}","['술집', '이자카야']","[129.310397, 35.5345023]",1630016030632409,울산광역시 남구 신정동 674-1,경아식당,288,http://ldb.phinf.naver.net/20190425_215/1556132787472f7Q6t_JPEG/gIo0z-F_LEDF7WwD7dwaQu7K.jpg,경아식당
"{'name': None, 'menu': None}","['음식점', '양식']","[129.3379761, 35.5425756]",1012819086,울산광역시 남구 삼산동 1548-9 3층,Pomponrouge,842,http://blogfiles.naver.net/20160401_83/rabbityoujin_1459487179934zIUkA_JPEG/NaverBlog_20160401_140619_07.jpg#740x740,삼산동 Pomponrouge  폼폰루지
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.3187635, 35.5335136]",224049064821134,울산광역시 남구 달동 1388-2 1층,애솜,565,http://ldb.phinf.naver.net/20180817_251/1534490291451Gn4bY_JPEG/Opvnl9hKja5HIRiWhcm6nCUY.jpeg.jpg,애솜
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[129.4325661, 35.4916283]",157029178276043,울산광역시 동구 일산동 976-2,싱물원,4755,http://ldb.phinf.naver.net/20190127_262/1548566126587vEYAs_JPEG/gxSzHk0g1SirI2FKfesd_0XD.jpg,싱물원
