broadcastInfo,category,geo,loc_id,naver_address,naver_title,post,tel,thumUrl,title
"{'name': None, 'menu': None}","['한식', '곱창,막창,양']","[127.1334125, 37.5090583]",658968182,서울특별시 송파구 오금동 4-13,오발탄 송파점,"1,138",,http://ldb.phinf.naver.net/20180119_186/1516343178308p51Id_PNG/bt45cRAt89UJozCxvxa8VEHM.PNG.png,오발탄
"{'name': '생활의달인', 'menu': '일본라면'}","['일식', '일본식라면']","[127.0201474, 37.5109294]",249624622,서울특별시 서초구 잠원동 38-26,라멘모토,"1,825",,http://ldb.phinf.naver.net/20180209_157/15181790892002V97i_JPEG/Phct6fUzCjizxn9OioKQRzvA.JPG.jpg,논현 라멘모토
"{'name': '생방송투데이', 'menu': '돈가스'}","['일식', '돈가스']","[126.9220529, 37.5526649]",2195237344090023,서울특별시 마포구 서교동 358-49 102호,혼가츠,100,,http://ldb.phinf.naver.net/20150901_287/1441086090585YiUbK_JPEG/166652587269713_0.jpg,혼가츠
"{'name': None, 'menu': None}","['한식', '국수']","[127.2259523, 37.5122486]",1827040637559624,경기도 하남시 하산곡동 246-1,망향비빔국수 미사리점,226,,http://ldb.phinf.naver.net/20190517_296/15580589222936rnGp_JPEG/Puv0CvviMvyboj86Fe26Bod3.jpg,망향비빔국수 미사리점
"{'name': None, 'menu': None}","['음식점', '스테이크,립']","[126.7539117, 37.6936347]",166598930605106,경기도 고양시 일산서구 덕이동 402-6,더기스 스테이크하우스,256,,http://ldb.phinf.naver.net/20171129_279/1511938887436StY4C_JPEG/23KXLGyj7Lpo-I1SZfoxZdBF.jpg,더기스  Deoggies
"{'name': None, 'menu': None}","['일식', '돈가스']","[127.0553453, 37.730772]",102000223719220,경기도 의정부시 신곡동 719-8,홍익돈까스 의정부신곡점,361,,http://ldb.phinf.naver.net/20170511_128/1494468505480QXtS7_JPEG/186461513844361_0.jpeg,홍익돈가스 신곡점
"{'name': '인생메뉴잘먹겠습니다', 'menu': '블랙페퍼프라운'}","['중식', '중식당']","[127.0068045, 37.5040494]",1014395257,서울특별시 서초구 반포동 118-6,모던눌랑 센트럴시티점,"6,529",,http://ldb.phinf.naver.net/20150917_179/14424530272955atKo_JPEG/SUBMIT_1442453008497_37086581.jpg,모던눌랑
"{'name': '생방송오늘저녁', 'menu': '돼지국밥'}","['한식', '순대,순대국']","[128.5869567, 35.8723561]",256585617,대구광역시 중구 서성로1가 59-1,8번식당,649,,http://blogfiles.naver.net/20160128_133/hankookceo_1453946644636YDW3j_JPEG/%BB%E7%C1%F8_169.jpg#1599x1065,8번식당
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[127.446058, 36.6176297]",730736240469382,충청북도 청주시 서원구 개신동 702,스타벅스 청주성화점,717,,http://ldb.phinf.naver.net/20151112_294/1447316784020fNqpg_JPEG/167062575643581_0.jpeg,스타벅스 성화점
"{'name': None, 'menu': None}","['술집', '바(BAR)']","[126.9184843, 37.4030971]",901470704,경기도 안양시 만안구 안양동 688-29,미스틱쵸우,721,,http://ldb.phinf.naver.net/20171207_137/1512572540762f3q1q_JPEG/Dpe-IUngf87gaRAphzMWMC-T.jpeg.jpg,미스틱쵸우
"{'name': None, 'menu': None}","['음식점', '한식']","[126.9908221, 37.5737826]",264666226,서울특별시 종로구 익선동 156,오죽이네,897,,http://ldb.phinf.naver.net/20181116_174/1542357928756QxSs9_JPEG/ltAM_Cg_4DYJwLOcb86tlf5T.jpg,종로 오죽이네
"{'name': None, 'menu': None}","['음식점', '브런치']","[129.3042945, 36.009245]",1787187101558994,경상북도 포항시 남구 연일읍 자명리 744-16 콩테이너,콩테이너,938,,http://ldb.phinf.naver.net/20161214_91/1481703952615syvRv_JPEG/IMG_0688.jpg,Congtainer
"{'name': None, 'menu': None}","['한식', '닭갈비']","[127.622025, 36.7675083]",371887299592502,충청북도 증평군 증평읍 용강리 160,일미닭갈비,0,043-838-2414,,증평 일미닭갈비
"{'name': None, 'menu': None}","['중식', '중식당']","[127.0479564, 37.5031647]",1917668804982816,서울특별시 강남구 역삼동 708-20,박사부,1,02-552-8404,,박사부
"{'name': None, 'menu': None}","['카페,디저트', '카페']","[126.97638, 37.5707418]",241925332,서울특별시 종로구 세종로 200,할리스커피 세종로점,1000,02-720-5582,http://ldb.phinf.naver.net/20170221_90/1487640821752TozEV_JPEG/186171506360991_0.jpeg,할리스 커피
"{'name': None, 'menu': None}","['음식점', '카페,디저트']","[127.4245905, 36.3247039]",1091404410998461,대전광역시 중구 대흥동 452-17,파이브먼트 스튜디오커피,1292,010-3174-9697,,Fivement Studio Coffee
"{'name': '생생정보통', 'menu': '팥빙수'}","['술집', '요리주점']","[126.9981972, 37.5927809]",146059026207241,서울특별시 성북구 성북동 122-7,째즈스토리,314,02-747-6537,http://ldb.phinf.naver.net/20180209_45/15181047713625W9Rd_JPEG/QFm1NhuXE1E0YgTScaRqSyxH.jpg,째즈스토리 성북동
"{'name': None, 'menu': None}","['술집', '이자카야']","[127.9482916, 37.3303518]",189484575222303,강원도 원주시 단구동 1515-10,ZEN DINING,316,033-762-1023,http://ldb.phinf.naver.net/20180619_2/1529397917081JV9uT_JPEG/SS447vU2h6At_kmkpHRa-z87.jpeg.jpg,젠다이닝
"{'name': None, 'menu': None}","['일식', '초밥,롤']","[126.7739772, 37.6548839]",278685416104198,경기도 고양시 일산동구 장항동 852-1,청담초밥 일산직영점,316,031-901-4719,http://ldb.phinf.naver.net/20181120_144/154270599424272Uvh_JPEG/YFlMewE9-Rf6wUoeisFTItDo.jpg,청담초밥 일산직영점
"{'name': None, 'menu': None}","['한식', '냉면']","[127.1124988, 37.6435642]",370047912,경기도 구리시 갈매동 504-9,팔당냉면 별내점,316,031-528-2889,http://ldb.phinf.naver.net/20151209_180/1449631743084O4BWX_JPEG/167159525921583_0.jpg,별내 팔당냉면
"{'name': None, 'menu': None}","['카페,디저트', '베이커리']","[127.2237407, 37.5454361]",548941028644792,경기도 하남시 신장동 616,르브레드랩 신세계하남스타필드점,316,,http://blogfiles.naver.net/MjAxNzA0MjdfMjk0/MDAxNDkzMzAyNzY5MTk2.TjFDclPtzKCUUBUJGlvy4DS2mbmAbk76xykWfsQU4gMg.TIohWlJihLPn-gKBmuM3sKwztvXTWX3ZRXppNJfmjygg.JPEG.taijilll/DSC06456.JPG#3568x2368,르브레드랩
"{'name': None, 'menu': None}","['일식', '일식당']","[129.4035324, 36.0815481]",2013795842229188,경상북도 포항시 북구 양덕동 1780 1층 오또상스테끼,오또상스테끼,317,054-252-6788,http://ldb.phinf.naver.net/20170814_126/1502718540998ENhyc_JPEG/piu6zyCuosQ5W-5zl_VH8xKt.JPG.jpg,포항 오또상스테끼
